Order ID,Order Date,Ship Date,Customer ID,Customer Name,Customer Segment,Product ID,Product Name,Category,Region,State,City,Quantity,Unit Price,Discount (%),Sales Amount,Cost Price,Profit,Payment Mode,Delivery Status,Supplier Name,Supplier Email,Stock left,Auto Reorder,Reorder Quantity
ORD1000,19-12-2024,26-12-2024,CUST647,Zachary Mills,Home Office,PROD4702,Notebook,Office Supplies,North,Washington,Lake Lisamouth,8,2510,20,17064,16064.9,999.1,UPI,Delivered,"Coleman, Villanueva and Wagner",markhouse@nguyen.com,9,Yes,35
ORD1001,21-07-2025,25-07-2025,CUST917,Alyssa Payne,Home Office,PROD5337,Mouse,Electronics,South,Florida,Annetteton,6,4340,15,23134,22134.6,999.4,Cash,Pending,Stewart-Johnson,jesse34@padilla.com,49,No,0
ORD1002,22-10-2025,25-10-2025,CUST704,Shelly Hernandez,Corporate,PROD6653,Pen,Office Supplies,South,Pennsylvania,Taylorbury,6,4567,20,22921.6,21922.24,999.36,Cash,Delivered,Murphy Inc,loriwhite@watts-lee.org,20,No,0
ORD1003,24-07-2024,28-07-2024,CUST204,Paul Cox,Home Office,PROD4940,Calculator,Office Supplies,South,Maryland,West Joan,5,3585,0,18925,17925.75,999.25,UPI,Pending,Herring-Caldwell,colemanjoy@ballard.com,39,No,0
ORD1004,19-10-2024,24-10-2024,CUST574,Jacob Harmon,Corporate,PROD7234,Headphones,Electronics,South,Tennessee,Campbellburgh,5,2624,20,11496,10496.78,999.22,Credit card,Delivered,Murphy-Nicholson,wilkinsmartha@sutton-melendez.com,43,No,0
ORD1005,24-03-2024,26-03-2024,CUST761,Valerie Reyes,Home Office,PROD9984,Notebook,Office Supplies,North,Montana,West Jim,5,1998,5,10490.5,9491.12,999.38,UPI,Cancelled,Noble Inc,wmoore@watts-moore.net,17,No,0
ORD1006,22-11-2024,25-11-2024,CUST198,Lisa Ayala,Consumer,PROD1084,Mouse,Electronics,West,Arizona,Conradchester,4,2338,5,9884.4,8885.1,999.3,Net Banking,Pending,Huffman-Donovan,sawyeranne@monroe.biz,47,No,0
ORD1007,28-03-2025,02-04-2025,CUST653,Joshua Martin,Home Office,PROD1045,Sofa,Furniture,West,Wyoming,Brendanbury,4,1073,0,5292,4292.68,999.32,Net Banking,Pending,Franklin-Chavez,powellbradley@young.com,33,No,0
ORD1008,12-10-2025,13-10-2025,CUST739,Jerry Williams,Home Office,PROD4244,Dining Table,Furniture,East,Maine,Williamsland,3,522,0,2566,1566.62,999.38,UPI,Delivered,Evans-Thomas,alexander05@ford-garza.com,14,No,0
ORD1009,01-09-2024,07-09-2024,CUST129,Tony Ruiz,Corporate,PROD8938,Monitor,Electronics,North,Alabama,Lake Jason,7,765,10,5819.5,4820.22,999.28,Credit card,Cancelled,"Stevens, Baldwin and Wright",carrolladrienne@jones.biz,31,No,0
ORD1010,05-06-2024,09-06-2024,CUST269,Brian Oneal,Corporate,PROD4046,Rice Bag,Grocery,East,Missouri,South Scott,10,4874,0,49740,48740.63,999.37,Cash,Returned,"Nunez, Arellano and Gomez",smithpamela@powell.com,2,Yes,48
ORD1011,21-11-2024,28-11-2024,CUST329,Sandra Caldwell,Consumer,PROD9339,Rice Bag,Grocery,North,Tennessee,Daviesville,8,3314,5,26186.4,25187.25,999.15,Cash,Pending,Summers Inc,michael34@allen.com,20,No,0
ORD1012,18-02-2024,24-02-2024,CUST980,Todd Nelson,Home Office,PROD1188,Cooking oil,Grocery,South,Delaware,Cohentown,6,1491,20,8156.8,7157.41,999.39,UPI,Delivered,Anderson PLC,alison96@walsh.com,5,Yes,44
ORD1013,18-06-2025,24-06-2025,CUST636,John Moore,Consumer,PROD7608,Office Chair,Furniture,South,New York,Lake David,3,2497,5,8116.45,7117.25,999.2,Credit card,Returned,Williams Ltd,timothy74@lynn.biz,10,No,0
ORD1014,06-09-2024,10-09-2024,CUST910,Elizabeth Hawkins,Home Office,PROD9353,Laptop,Electronics,East,New Jersey,East Mark,1,495,5,1470.25,471.06,999.19,Credit card,Cancelled,Hughes PLC,stephaniemartinez@olson.com,28,No,0
ORD1015,30-12-2023,02-01-2024,CUST755,Stacy Rasmussen,Home Office,PROD1156,Cooking oil,Grocery,West,North Carolina,Feliciahaven,6,3165,15,17141.5,16142.36,999.14,Net Banking,Pending,"Perez, Morgan and Bennett",ralphgarcia@flores-levy.com,42,No,0
ORD1016,30-10-2025,05-11-2025,CUST271,William Ayala,Corporate,PROD4701,Bookshell,Furniture,East,South Carolina,Franklinport,3,3381,5,10635.85,9636.56,999.29,Net Banking,Returned,Hayes Inc,yperry@johnson-chavez.com,7,Yes,32
ORD1017,02-11-2025,08-11-2025,CUST493,Kimberly Francis,Home Office,PROD3689,Stapler,Office Supplies,South,Oklahoma,East Troy,6,3243,5,19485.1,18485.99,999.11,Net Banking,Pending,Frank LLC,johnsonalicia@lewis-kennedy.com,43,No,0
ORD1018,25-10-2024,27-10-2024,CUST329,John Martin PhD,Home Office,PROD5202,File Folder,Office Supplies,South,Massachusetts,Heatherberg,9,2832,5,25213.6,24214.33,999.27,Net Banking,Returned,"Thomas, Mccormick and Nelson",lbarnett@reid.com,32,No,0
ORD1019,13-03-2024,14-03-2024,CUST441,Hannah Hansen,Corporate,PROD4257,Office Chair,Furniture,East,Tennessee,East Angela,5,3243,5,16404.25,15404.89,999.36,Credit card,Cancelled,Tran-Cohen,tfrazier@smith.info,50,No,0
ORD1020,25-08-2024,01-09-2024,CUST790,William Price,Home Office,PROD6153,File Folder,Office Supplies,North,Kentucky,Jonesburgh,3,928,15,3366.4,2367.26,999.14,Net Banking,Delivered,Nelson LLC,jacob82@macdonald.org,36,No,0
ORD1021,11-03-2024,17-03-2024,CUST715,Lee Kemp,Corporate,PROD8664,Sugar,Grocery,South,California,West Marissa,8,3621,15,25622.8,24623.48,999.32,Credit card,Delivered,Mills-Brown,dbaldwin@anderson-jones.com,46,No,0
ORD1022,04-06-2025,06-06-2025,CUST293,Tammy Marks,Consumer,PROD2151,Pen,Office Supplies,North,Texas,Lake Kristishire,10,1382,5,14129,13129.89,999.11,Net Banking,Returned,"Lee, Leblanc and Shepherd",robertsonanthony@gray-baker.com,34,No,0
ORD1023,02-07-2024,09-07-2024,CUST970,Sara Lee,Consumer,PROD8667,Notebook,Office Supplies,South,Minnesota,Kelleyberg,6,1507,20,8233.6,7234.46,999.14,UPI,Returned,"Tucker, Riley and Lane",christinamccormick@miller-hebert.com,35,No,0
ORD1024,22-03-2024,25-03-2024,CUST733,Mark Alvarez,Corporate,PROD2501,Rice Bag,Grocery,West,Washington,Lauramouth,6,3700,10,20980,19980.8,999.2,Credit card,Cancelled,"Huynh, Roman and Johnson",jennysimon@vazquez-woods.com,36,No,0
ORD1025,13-07-2024,20-07-2024,CUST974,Elizabeth Hernandez MD,Corporate,PROD6439,Headphones,Electronics,North,Oklahoma,New Vincent,9,846,0,8614,7614.75,999.25,Credit card,Delivered,"Valdez, Patton and Barrett",billywalker@bullock-wagner.com,23,No,0
ORD1026,29-07-2024,05-08-2024,CUST676,William Gilbert,Corporate,PROD1916,Notebook,Office Supplies,West,Missouri,Port Nancy,9,3917,10,32727.7,31728.5,999.2,Credit card,Pending,"Parker, Brown and Anderson",cindywood@hines-gardner.com,11,No,0
ORD1027,23-11-2023,25-11-2023,CUST107,Mr. John Rodgers,Corporate,PROD4229,Rice Bag,Grocery,South,Texas,Port Nancytown,3,2128,10,6745.6,5746.44,999.16,UPI,Delivered,Scott-Johnson,hickmanjohn@rios-kemp.com,23,No,0
ORD1028,01-09-2024,05-09-2024,CUST805,Lauren Ramirez,Corporate,PROD5414,Keyboard,Electronics,West,Florida,Stanleyberg,2,360,20,1576,576.65,999.35,Credit card,Delivered,Lopez and Sons,martinezjasmine@terry.com,43,No,0
